version_id,scenario_code,scenario_set_code,order_index,scenario_text_en,scenario_text_ar
v2,D11_01,deep_11,1,"If you had to choose one social system for life, what would you pick?",لو اضطررت لاختيار نظام اجتماعي واحد طوال حياتك، ماذا تختار؟
v2,D11_02,deep_11,2,You are moving to a new country. Which system suits you more?,أنت تنتقل إلى بلد جديد. أي نظام يناسبك أكثر؟
v2,D11_03,deep_11,3,A future city offers two contracts for residents. Which one do you sign?,مدينة مستقبلية تعرض عقدين للسكان. أي عقد توقع؟
v2,D11_04,deep_11,4,You can raise your children under one model only. Which model do you choose?,يمكنك تربية أطفالك ضمن نموذج واحد فقط. أي نموذج تختار؟
v2,D11_05,deep_11,5,You are offered a once-in-a-lifetime project that may cost years with loved ones. What do you do?,عُرض عليك مشروع نادر قد يكلفك سنوات بعيدا عن من تحب. ماذا تفعل؟
v2,D11_06,deep_11,6,Two career paths open up: legacy impact or balanced life. Which path do you take?,أمامك مساران مهنيان: أثر تاريخي أو حياة متوازنة. أي مسار تختار؟
v2,D11_07,deep_11,7,A startup asks you for total commitment with high prestige. How do you respond?,شركة ناشئة تطلب تفرغا كاملا مع مكانة عالية. كيف ترد؟
v2,D11_08,deep_11,8,"Your mentor tells you: now is your shot at greatness, but with a personal cost. Your choice?",مرشدك يقول: هذه فرصتك للعظمة لكن بثمن شخصي. ما اختيارك؟
v2,D11_09,deep_11,9,A deadly epidemic spreads and medicine is limited. You are in charge of distribution.,انتشر وباء قاتل والدواء محدود. أنت مسؤول عن التوزيع.
v2,D11_10,deep_11,10,"In your city hospital, only one shipment of treatment arrives. How do you allocate it?",في مستشفى مدينتك وصلت شحنة علاج واحدة فقط. كيف توزعها؟
v2,D11_11,deep_11,11,An emergency committee asks for your final rule for scarce treatment.,لجنة طوارئ تطلب منك قاعدة نهائية لعلاج نادر.
v2,D11_12,deep_11,12,A refugee camp has one life-saving stock. Which allocation principle do you apply?,مخيم لجوء لديه مخزون إنقاذ واحد. أي مبدأ توزيع تطبق؟
v2,D11_13,deep_11,13,"In a class project, bonus marks must be distributed. What is fairest?",في مشروع دراسي جماعي يجب توزيع درجات إضافية. ما الأعدل؟
v2,D11_14,deep_11,14,Your team asks you to design the grading rule after a group assignment.,فريقك يطلب منك وضع قاعدة التقييم بعد مشروع جماعي.
v2,D11_15,deep_11,15,"As class representative, you decide how shared credit is awarded.",بصفتك ممثل الصف تقرر كيف توزع درجات الإنجاز المشترك.
v2,D11_16,deep_11,16,A school policy review asks for your grading model in group work.,مراجعة سياسة المدرسة تطلب نموذجك لتقييم العمل الجماعي.
v2,D11_17,deep_11,17,Your family is dividing inheritance among siblings. Which principle leads?,عائلتك تقسم ميراثا بين الإخوة. أي مبدأ يقود القرار؟
v2,D11_18,deep_11,18,You are asked to mediate inheritance tensions between brothers and sisters.,طُلب منك التوسط في خلاف ميراث بين الإخوة والأخوات.
v2,D11_19,deep_11,19,A parent leaves mixed assets and unclear expectations. How do you divide fairly?,أحد الوالدين ترك أصولا متعددة وتوقعات غير واضحة. كيف تقسم بعدل؟
v2,D11_20,deep_11,20,A family council asks you to draft a fair inheritance framework.,مجلس عائلي يطلب منك صياغة إطار عادل لتوزيع الإرث.
v2,D11_21,deep_11,21,"Two people commit the same offense: one rich, one poor. How should fines work?",شخصان ارتكبا نفس المخالفة: أحدهما غني والآخر فقير. كيف تكون الغرامة؟
v2,D11_22,deep_11,22,A policy board asks you to redesign penalties for economic fairness.,مجلس سياسات يطلب منك إعادة تصميم العقوبات لتحقيق إنصاف اقتصادي.
v2,D11_23,deep_11,23,Your city is updating traffic fines. What model do you support?,مدينتك تحدّث نظام غرامات المرور. أي نموذج تدعم؟
v2,D11_24,deep_11,24,"As a legal advisor, you must choose one principle for monetary penalties.",كمستشار قانوني عليك اختيار مبدأ واحد للغرامات المالية.
