version_id,scenario_code,option_code,option_text_en,option_text_ar
v2,D11_01,A,Choose guaranteed income and services even if life paths are predefined.,أختار دخلا وخدمات مضمونة حتى لو كانت مسارات الحياة محددة.
v2,D11_01,B,Choose maximum personal freedom even if failure has no safety net.,أختار حرية شخصية قصوى حتى لو لم توجد شبكة أمان عند الفشل.
v2,D11_01,C,Choose freedom with a basic public safety floor for everyone.,أختار الحرية مع حد أمان عام أساسي للجميع.
v2,D11_01,D,Choose a cooperative model where people share both support and decisions.,أختار نموذجا تعاونيا يتشارك فيه الناس الدعم والقرار.
v2,D11_02,A,"Prioritize stable housing, healthcare, and fixed career tracks.",أعطي الأولوية لسكن وصحة مستقرة ومسارات مهنية ثابتة.
v2,D11_02,B,"Prioritize open opportunity, even if outcomes vary sharply.",أعطي الأولوية لفرص مفتوحة حتى لو تفاوتت النتائج بشدة.
v2,D11_02,C,Set legal freedoms plus mandatory minimum protections.,أضع حريات قانونية مع ضمانات دنيا إلزامية.
v2,D11_02,D,Build neighborhood councils to decide aid and choice together.,أبني مجالس أحياء تقرر الدعم والاختيار معا.
v2,D11_03,A,Sign the stability contract with defined education and work tracks.,أوقع عقد الاستقرار مع تعليم وعمل محددين مسبقا.
v2,D11_03,B,Sign the autonomy contract with full personal responsibility.,أوقع عقد الاستقلالية مع مسؤولية فردية كاملة.
v2,D11_03,C,Request a hybrid charter: free choice plus emergency guarantees.,أطلب ميثاقا هجينا: حرية اختيار مع ضمانات طوارئ.
v2,D11_03,D,Request a participatory charter managed by local community votes.,أطلب ميثاقا تشاركيا يدار بتصويت المجتمع المحلي.
v2,D11_04,A,"Teach them that protection comes first, then optional freedom.",أعلمهم أن الحماية أولا ثم الحرية الاختيارية.
v2,D11_04,B,Teach them that dignity starts from owning one's decisions.,أعلمهم أن الكرامة تبدأ من امتلاك القرار الشخصي.
v2,D11_04,C,Teach them to combine liberty with clear social safeguards.,أعلمهم الجمع بين الحرية وضمانات اجتماعية واضحة.
v2,D11_04,D,Teach them to organize mutual aid and shared governance.,أعلمهم تنظيم التكافل والحكم التشاركي.
v2,D11_05,A,Accept the sacrifice and pursue exceptional legacy impact.,أقبل التضحية وأسعى لأثر استثنائي يترك إرثا.
v2,D11_05,B,Decline and choose a successful path that keeps loved ones close.,أرفض وأختار مسارا ناجحا يحافظ على قرب من أحب.
v2,D11_05,C,Negotiate phased goals with protected family and recovery time.,أتفاوض على أهداف مرحلية مع وقت محمي للأسرة والتعافي.
v2,D11_05,D,Choose a visible role with steady recognition and humane pace.,أختار دورا واضحا بتقدير مستمر وإيقاع إنساني.
v2,D11_06,A,"Take the high-risk, high-impact route and optimize for greatness.",آخذ مسار الأثر العالي والمخاطرة العالية وأركز على العظمة.
v2,D11_06,B,Choose the solid route that supports daily presence at home.,أختار المسار المستقر الذي يدعم الحضور اليومي في البيت.
v2,D11_06,C,Design a five-year plan with non-negotiable personal boundaries.,أصمم خطة خمسية بحدود شخصية غير قابلة للتنازل.
v2,D11_06,D,Pick a role where your contributions are seen and respected.,أختار دورا تظهر فيه مساهمتي وتحظى بالاحترام.
v2,D11_07,A,Join and commit fully to maximize scale and growth.,أنضم وألتزم كليا لتعظيم التوسع والنمو.
